regione,ricoverati,terapia_intensiva,isolamento_domiciliare,positivi,guariti,morti,casi_totali,tamponi
Abruzzo,0,0,0,0,0,0,0,0
Basilicata,0,0,0,0,0,0,0,0
Bolzano,0,0,0,0,0,0,0,0
Calabria,0,0,1,1,0,0,1,7
Campania,0,0,1,1,0,0,1,203
Emilia Romagna,20,0,27,47,0,1,48,244
Friuli V.G.,0,0,0,0,0,0,0,28
Lazio,0,0,0,0,0,0,0,59
Liguria,0,0,0,0,0,0,0,34
Lombardia,63,6,56,125,0,3,128,1515
Marche,1,1,1,3,0,0,3,1
Molise,0,0,0,0,0,0,0,0
Piemonte,5,0,4,9,0,0,9,71
Puglia,0,0,2,2,0,0,2,242
Sardegna,0,0,0,0,0,0,0,0
Sicilia,0,0,0,0,0,0,0,0
Toscana,3,0,2,5,1,0,6,27
Trento,0,0,0,0,0,0,0,0
Umbria,0,0,0,0,0,0,0,0
Valle D’Aosta,0,0,0,0,0,0,0,0
Veneto,5,1,34,40,0,0,40,1250
