region,hospitalized,intensive_care,self_quarantined,active,healed,dead,total_confirmed,tested
Abruzzo,3,0,2,5,0,0,5,52
Basilicata,0,0,0,0,0,0,0,39
Bolzano,1,0,0,1,0,0,1,20
Calabria,0,0,1,1,0,0,1,35
Campania,4,0,13,17,0,0,17,373
Emilia Romagna,127,13,137,277,0,8,285,1795
Friuli V.G.,0,0,6,6,0,0,6,243
Lazio,3,0,0,3,3,0,6,724
Liguria,12,1,8,21,4,0,25,121
Lombardia,406,106,375,887,73,24,984,6879
Marche,12,5,8,25,0,0,25,101
Molise,0,0,0,0,0,0,0,6
Piemonte,11,2,36,49,0,0,49,362
Puglia,1,0,2,3,0,0,3,262
Sardegna,0,0,0,0,0,0,0,29
Sicilia,1,0,6,7,2,0,9,291
Toscana,7,0,5,12,1,0,13,572
Trento,0,0,0,0,0,0,0,122
Umbria,0,0,2,2,0,0,2,35
Valle D’Aosta,0,0,0,0,0,0,0,10
Veneto,51,13,197,261,0,2,263,9056
