date,region,hospitalized,intensive_care,self_quarantined,active,healed,dead,total_confirmed,tested
2020-02-25,Abruzzo,0,0,0,0,0,0,0,5
2020-02-25,Basilicata,0,0,0,0,0,0,0,0
2020-02-25,Bolzano,1,0,0,1,0,0,1,1
2020-02-25,Calabria,0,0,0,0,0,0,0,2
2020-02-25,Campania,0,0,0,0,0,0,0,10
2020-02-25,Emilia Romagna,12,2,9,23,0,0,23,148
2020-02-25,Friuli V.G.,0,0,0,0,0,0,0,86
2020-02-25,Lazio,1,1,0,2,1,0,3,124
2020-02-25,Liguria,0,0,0,0,0,0,0,35
2020-02-25,Lombardia,76,21,109,206,0,6,212,3298
2020-02-25,Marche,0,0,0,0,0,0,0,18
2020-02-25,Molise,0,0,0,0,0,0,0,0
2020-02-25,Piemonte,2,0,1,3,0,0,3,141
2020-02-25,Puglia,0,0,0,0,0,0,0,0
2020-02-25,Sardegna,0,0,0,0,0,0,0,1
2020-02-25,Sicilia,1,0,0,1,0,0,1,5
2020-02-25,Toscana,2,0,0,2,0,0,2,140
2020-02-25,Trento,0,0,0,0,0,0,0,3
2020-02-25,Umbria,0,0,0,0,0,0,0,0
2020-02-25,Valle D’Aosta,0,0,0,0,0,0,0,7
2020-02-25,Veneto,14,5,18,37,0,1,38,2200
2020-02-26,Abruzzo,0,0,0,0,0,0,0,8
2020-02-26,Basilicata,0,0,0,0,0,0,0,0
2020-02-26,Bolzano,0,0,0,0,0,0,0,0
2020-02-26,Calabria,0,0,0,0,0,0,0,1
2020-02-26,Campania,0,0,0,0,0,0,0,0
2020-02-26,Emilia Romagna,8,1,14,23,0,1,24,429
2020-02-26,Friuli V.G.,0,0,0,0,0,0,0,28
2020-02-26,Lazio,-1,-1,0,-2,2,0,0,0
2020-02-26,Liguria,6,0,5,11,0,0,11,31
2020-02-26,Lombardia,3,4,36,43,0,3,46,-90
2020-02-26,Marche,1,0,0,1,0,0,1,10
2020-02-26,Molise,0,0,0,0,0,0,0,0
2020-02-26,Piemonte,0,0,0,0,0,0,0,15
2020-02-26,Puglia,0,0,0,0,0,0,0,0
2020-02-26,Sardegna,0,0,0,0,0,0,0,0
2020-02-26,Sicilia,0,0,2,2,0,0,2,0
2020-02-26,Toscana,0,0,0,0,0,0,0,223
2020-02-26,Trento,0,0,0,0,0,0,0,0
2020-02-26,Umbria,0,0,0,0,0,0,0,8
2020-02-26,Valle D’Aosta,0,0,0,0,0,0,0,0
2020-02-26,Veneto,2,3,27,32,0,1,33,2700
2020-02-27,Abruzzo,1,0,0,1,0,0,1,20
2020-02-27,Basilicata,0,0,0,0,0,0,0,0
2020-02-27,Bolzano,0,0,0,0,0,0,0,1
2020-02-27,Calabria,0,0,0,0,0,0,0,11
2020-02-27,Campania,2,0,1,3,0,0,3,0
2020-02-27,Emilia Romagna,16,3,31,50,0,0,50,456
2020-02-27,Friuli V.G.,0,0,0,0,0,0,0,27
2020-02-27,Lazio,0,0,0,0,0,0,0,428
2020-02-27,Liguria,3,0,5,8,0,0,8,12
2020-02-27,Lombardia,93,16,-9,100,40,5,145,112
2020-02-27,Marche,1,1,0,2,0,0,2,18
2020-02-27,Molise,0,0,0,0,0,0,0,0
2020-02-27,Piemonte,0,0,-1,-1,0,0,-1,0
2020-02-27,Puglia,1,0,0,1,0,0,1,0
2020-02-27,Sardegna,0,0,0,0,0,0,0,0
2020-02-27,Sicilia,0,0,-1,-1,2,0,1,0
2020-02-27,Toscana,0,0,0,0,0,0,0,47
2020-02-27,Trento,0,0,0,0,0,0,0,29
2020-02-27,Umbria,0,0,0,0,0,0,0,0
2020-02-27,Valle D’Aosta,0,0,0,0,0,0,0,2
2020-02-27,Veneto,3,0,37,40,0,0,40,1264
2020-02-28,Abruzzo,0,0,0,0,0,0,0,0
2020-02-28,Basilicata,0,0,0,0,0,0,0,0
2020-02-28,Bolzano,0,0,0,0,0,0,0,0
2020-02-28,Calabria,0,0,1,1,0,0,1,7
2020-02-28,Campania,0,0,1,1,0,0,1,203
2020-02-28,Emilia Romagna,20,0,27,47,0,1,48,244
2020-02-28,Friuli V.G.,0,0,0,0,0,0,0,28
2020-02-28,Lazio,0,0,0,0,0,0,0,59
2020-02-28,Liguria,0,0,0,0,0,0,0,34
2020-02-28,Lombardia,63,6,56,125,0,3,128,1515
2020-02-28,Marche,1,1,1,3,0,0,3,1
2020-02-28,Molise,0,0,0,0,0,0,0,0
2020-02-28,Piemonte,5,0,4,9,0,0,9,71
2020-02-28,Puglia,0,0,2,2,0,0,2,242
2020-02-28,Sardegna,0,0,0,0,0,0,0,0
2020-02-28,Sicilia,0,0,0,0,0,0,0,0
2020-02-28,Toscana,3,0,2,5,1,0,6,27
2020-02-28,Trento,0,0,0,0,0,0,0,0
2020-02-28,Umbria,0,0,0,0,0,0,0,0
2020-02-28,Valle D’Aosta,0,0,0,0,0,0,0,0
2020-02-28,Veneto,5,1,34,40,0,0,40,1250
2020-02-29,Abruzzo,1,0,0,1,0,0,1,10
2020-02-29,Basilicata,0,0,0,0,0,0,0,32
2020-02-29,Bolzano,0,0,0,0,0,0,0,14
2020-02-29,Calabria,0,0,0,0,0,0,0,6
2020-02-29,Campania,1,0,8,9,0,0,9,160
2020-02-29,Emilia Romagna,30,5,35,70,0,2,72,273
2020-02-29,Friuli V.G.,0,0,0,0,0,0,0,20
2020-02-29,Lazio,3,0,0,3,0,0,3,68
2020-02-29,Liguria,-5,1,23,19,4,0,23,9
2020-02-29,Lombardia,21,33,24,78,0,6,84,888
2020-02-29,Marche,3,0,2,5,0,0,5,21
2020-02-29,Molise,0,0,0,0,0,0,0,0
2020-02-29,Piemonte,0,0,0,0,0,0,0,81
2020-02-29,Puglia,0,0,0,0,0,0,0,10
2020-02-29,Sardegna,0,0,0,0,0,0,0,0
2020-02-29,Sicilia,0,0,0,0,0,0,0,1
2020-02-29,Toscana,2,0,1,3,0,0,3,94
2020-02-29,Trento,0,0,0,0,0,0,0,11
2020-02-29,Umbria,0,0,0,0,0,0,0,23
2020-02-29,Valle D’Aosta,0,0,0,0,0,0,0,0
2020-02-29,Veneto,0,2,38,40,0,0,40,1245
2020-03-01,Abruzzo,1,0,2,3,0,0,3,9
2020-03-01,Basilicata,0,0,0,0,0,0,0,7
2020-03-01,Bolzano,0,0,0,0,0,0,0,4
2020-03-01,Calabria,0,0,0,0,0,0,0,8
2020-03-01,Campania,1,0,3,4,0,0,4,0
2020-03-01,Emilia Romagna,41,2,21,64,0,4,68,245
2020-03-01,Friuli V.G.,0,0,6,6,0,0,6,54
2020-03-01,Lazio,0,0,0,0,0,0,0,45
2020-03-01,Liguria,8,0,-25,-17,0,0,-17,0
2020-03-01,Lombardia,150,26,159,335,33,1,369,1156
2020-03-01,Marche,6,3,5,14,0,0,14,33
2020-03-01,Molise,0,0,0,0,0,0,0,6
2020-03-01,Piemonte,4,2,32,38,0,0,38,54
2020-03-01,Puglia,0,0,0,0,0,0,0,10
2020-03-01,Sardegna,0,0,0,0,0,0,0,28
2020-03-01,Sicilia,0,0,5,5,0,0,5,285
2020-03-01,Toscana,0,0,2,2,0,0,2,41
2020-03-01,Trento,0,0,0,0,0,0,0,79
2020-03-01,Umbria,0,0,2,2,0,0,2,4
2020-03-01,Valle D’Aosta,0,0,0,0,0,0,0,1
2020-03-01,Veneto,27,2,43,72,0,0,72,397
2020-03-02,Abruzzo,0,0,0,0,0,0,0,0
2020-03-02,Basilicata,0,0,0,0,0,0,0,0
2020-03-02,Bolzano,0,0,0,0,0,0,0,0
2020-03-02,Calabria,0,0,0,0,0,0,0,4
2020-03-02,Campania,0,0,0,0,0,0,0,0
2020-03-02,Emilia Romagna,21,3,23,47,0,3,50,178
2020-03-02,Friuli V.G.,0,0,3,3,0,0,3,26
2020-03-02,Lazio,0,0,1,1,0,0,1,49
2020-03-02,Liguria,0,0,-3,-3,0,0,-3,0
2020-03-02,Lombardia,72,21,97,190,66,14,270,1046
2020-03-02,Marche,5,1,3,9,0,1,10,36
2020-03-02,Molise,0,0,0,0,0,0,0,7
2020-03-02,Piemonte,1,0,1,2,0,0,2,72
2020-03-02,Puglia,1,0,0,1,0,0,1,16
2020-03-02,Sardegna,0,0,0,0,0,0,0,0
2020-03-02,Sicilia,1,0,-3,-2,0,0,-2,16
2020-03-02,Toscana,0,0,0,0,0,0,0,41
2020-03-02,Trento,0,0,0,0,0,0,0,0
2020-03-02,Umbria,0,0,0,0,0,0,0,0
2020-03-02,Valle D’Aosta,0,0,0,0,0,0,0,1
2020-03-02,Veneto,2,1,7,10,0,0,10,726
2020-03-03,Abruzzo,2,0,-1,1,0,0,1,0
2020-03-03,Basilicata,0,0,1,1,0,0,1,3
2020-03-03,Bolzano,0,0,0,0,0,0,0,0
2020-03-03,Calabria,0,0,0,0,0,0,0,0
2020-03-03,Campania,7,0,6,13,0,0,13,32
2020-03-03,Emilia Romagna,39,8,27,74,4,7,85,39
2020-03-03,Friuli V.G.,1,0,3,4,0,0,4,85
2020-03-03,Lazio,7,0,0,7,0,0,7,104
2020-03-03,Liguria,0,1,0,1,0,1,2,0
2020-03-03,Lombardia,220,40,-11,249,0,17,266,1652
2020-03-03,Marche,10,7,8,25,0,1,26,63
2020-03-03,Molise,3,0,0,3,0,0,3,0
2020-03-03,Piemonte,1,1,3,5,0,0,5,24
2020-03-03,Puglia,0,0,2,2,0,0,2,20
2020-03-03,Sardegna,1,0,0,1,0,0,1,0
2020-03-03,Sicilia,0,0,0,0,0,0,0,0
2020-03-03,Toscana,3,0,3,6,0,0,6,84
2020-03-03,Trento,1,0,3,4,0,0,4,0
2020-03-03,Umbria,1,1,4,6,0,0,6,10
2020-03-03,Valle D’Aosta,0,0,0,0,0,0,0,1
2020-03-03,Veneto,-4,5,25,26,7,1,34,394
2020-03-04,Abruzzo,2,0,-1,1,0,0,1,33
2020-03-04,Basilicata,0,0,0,0,0,0,0,6
2020-03-04,Bolzano,0,0,0,0,0,0,0,0
2020-03-04,Calabria,0,0,0,0,0,0,0,7
2020-03-04,Campania,0,0,1,1,0,0,1,24
2020-03-04,Emilia Romagna,69,2,47,118,2,4,124,488
2020-03-04,Friuli V.G.,2,0,3,5,0,0,5,22
2020-03-04,Lazio,5,3,8,16,0,0,16,118
2020-03-04,Liguria,-2,1,3,2,0,0,2,12
2020-03-04,Lombardia,179,42,-50,171,111,18,300,2561
2020-03-04,Marche,7,2,12,21,0,2,23,88
2020-03-04,Molise,0,0,0,0,0,0,0,6
2020-03-04,Piemonte,13,10,3,26,0,0,26,85
2020-03-04,Puglia,2,0,-1,1,1,1,3,24
2020-03-04,Sardegna,0,0,1,1,0,0,1,13
2020-03-04,Sicilia,3,0,8,11,0,0,11,60
2020-03-04,Toscana,5,2,12,19,0,0,19,79
2020-03-04,Trento,0,0,1,1,0,0,1,0
2020-03-04,Umbria,0,0,1,1,0,0,1,13
2020-03-04,Valle D’Aosta,0,0,0,0,0,0,0,3
2020-03-04,Veneto,27,4,17,48,2,3,53,339
2020-03-05,Abruzzo,1,0,0,1,0,0,1,11
2020-03-05,Basilicata,0,0,0,0,0,0,0,6
2020-03-05,Bolzano,0,0,0,0,0,0,0,0
2020-03-05,Calabria,1,0,0,1,0,0,1,7
2020-03-05,Campania,1,0,13,14,0,0,14,42
2020-03-05,Emilia Romagna,71,6,65,142,4,8,154,384
2020-03-05,Friuli V.G.,1,0,2,3,0,0,3,21
2020-03-05,Lazio,5,4,5,14,0,0,14,180
2020-03-05,Liguria,1,0,-1,0,0,2,2,13
2020-03-05,Lombardia,292,35,-47,280,126,25,431,216
2020-03-05,Marche,23,4,13,40,0,0,40,125
2020-03-05,Molise,1,0,3,4,0,0,4,5
2020-03-05,Piemonte,17,4,3,24,0,2,26,0
2020-03-05,Puglia,1,1,3,5,0,0,5,37
2020-03-05,Sardegna,1,0,-1,0,0,0,0,8
2020-03-05,Sicilia,0,0,0,0,0,0,0,0
2020-03-05,Toscana,11,1,11,23,0,0,23,0
2020-03-05,Trento,1,0,1,2,0,0,2,0
2020-03-05,Umbria,0,0,0,0,0,0,0,30
2020-03-05,Valle D’Aosta,0,0,2,2,0,0,2,6
2020-03-05,Veneto,16,1,18,35,8,4,47,1434
2020-03-06,Abruzzo,1,0,0,1,0,0,1,0
2020-03-06,Basilicata,1,0,1,2,0,0,2,9
2020-03-06,Bolzano,3,0,0,3,0,0,3,16
2020-03-06,Calabria,1,0,1,2,0,0,2,46
2020-03-06,Campania,0,0,12,12,0,0,12,0
2020-03-06,Emilia Romagna,70,21,67,158,7,7,172,252
2020-03-06,Friuli V.G.,0,0,7,7,3,0,10,180
2020-03-06,Lazio,6,1,2,9,0,1,10,198
2020-03-06,Liguria,1,2,0,3,1,0,4,83
2020-03-06,Lombardia,453,65,-287,231,93,37,361,1202
2020-03-06,Marche,16,1,18,35,0,0,35,172
2020-03-06,Molise,-1,2,4,5,0,0,5,80
2020-03-06,Piemonte,14,13,6,33,0,2,35,250
2020-03-06,Puglia,0,0,3,3,0,0,3,36
2020-03-06,Sardegna,0,0,3,3,0,0,3,49
2020-03-06,Sicilia,2,0,4,6,0,0,6,0
2020-03-06,Toscana,9,2,7,18,0,0,18,321
2020-03-06,Trento,2,0,1,3,0,0,3,0
2020-03-06,Umbria,1,1,5,7,0,0,7,22
2020-03-06,Valle D’Aosta,0,0,5,5,0,0,5,7
2020-03-06,Veneto,25,3,46,74,5,2,81,1074
2020-03-07,Abruzzo,2,0,0,2,0,0,2,27
2020-03-07,Basilicata,0,0,0,0,0,0,0,12
2020-03-07,Bolzano,4,0,1,5,0,0,5,0
2020-03-07,Calabria,0,0,0,0,0,0,0,14
2020-03-07,Campania,4,0,0,4,0,0,4,141
2020-03-07,Emilia Romagna,67,11,43,121,8,11,140,468
2020-03-07,Friuli V.G.,3,1,7,11,0,0,11,0
2020-03-07,Lazio,17,0,5,22,0,0,22,209
2020-03-07,Liguria,14,1,3,18,0,1,19,102
2020-03-07,Lombardia,39,50,645,734,55,19,808,2222
2020-03-07,Marche,21,16,9,46,0,2,48,231
2020-03-07,Molise,0,0,2,2,0,0,2,8
2020-03-07,Piemonte,53,8,2,63,0,1,64,253
2020-03-07,Puglia,4,1,3,8,0,1,9,0
2020-03-07,Sardegna,0,0,0,0,0,0,0,0
2020-03-07,Sicilia,1,0,10,11,0,0,11,276
2020-03-07,Toscana,19,2,13,34,0,0,34,234
2020-03-07,Trento,2,1,1,4,0,0,4,72
2020-03-07,Umbria,0,0,8,8,0,0,8,24
2020-03-07,Valle D’Aosta,1,0,0,1,0,0,1,4
2020-03-07,Veneto,6,14,31,51,3,1,55,1406
2020-03-08,Abruzzo,3,0,3,6,0,0,6,40
2020-03-08,Basilicata,1,0,0,1,0,0,1,48
2020-03-08,Bolzano,0,0,0,0,0,0,0,0
2020-03-08,Calabria,3,0,2,5,0,0,5,0
2020-03-08,Campania,14,7,18,39,1,0,40,368
2020-03-08,Emilia Romagna,78,11,71,160,2,8,170,740
2020-03-08,Friuli V.G.,0,0,14,14,0,1,15,420
2020-03-08,Lazio,4,0,5,9,0,2,11,347
2020-03-08,Liguria,13,5,7,25,0,2,27,70
2020-03-08,Lombardia,556,40,34,630,26,113,769,2756
2020-03-08,Marche,16,5,43,64,0,1,65,209
2020-03-08,Molise,1,0,-1,0,0,0,0,4
2020-03-08,Piemonte,135,7,11,153,0,0,153,590
2020-03-08,Puglia,8,1,4,13,0,1,14,232
2020-03-08,Sardegna,3,0,3,6,0,0,6,50
